curie	label	scope	text	language	type	contributor	date
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D.,	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Scholar	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	phd candidate	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD studies	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	dphil	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D/Dr	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctorate degree	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. rer. nat.	de		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. rer. nat. (PhD)	de		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD (Dr. rer. nat.)	de		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Fellow	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD (in progress)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Thesis	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Candidate	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Program	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctoral Student	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD thesis	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Dr. phil.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Doctor (PhD)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D./Dr.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	ph d	en		0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	doctorofphilosophy	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	PhD Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	Doctor in Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	PhD in chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	PhD in Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	Ph.D. in Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	PhD (Chemistry)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	PhD Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000077	doctor of philosophy in chemistry	oboInOwl:hasExactSynonym	Doctor en Ciencias Químicas	es		0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	BSc Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym	B.S. Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym	BSc Biochemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym	BS Biochemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym	B.S. Biochemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000050	bachelor of science in chemical engineering	oboInOwl:hasExactSynonym	BS Chemical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000078	master of science in chemistry	oboInOwl:hasExactSynonym	MSc Chemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000078	master of science in chemistry	oboInOwl:hasExactSynonym	MChem	en		0000-0003-4423-4370	2024-10-27
QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	BSc Hons	en		0000-0003-4423-4370	2024-10-27
QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	BSc(Hons)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	BSc Honours	en	OMO:0003005	0000-0003-4423-4370	2024-10-27
QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym	BA Hons	en		0000-0003-4423-4370	2024-10-27
QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym	BA (Hons)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym	BA Honours	en	OMO:0003005	0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	BA	en		0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	Bachelor of Arts (B.A.)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	Artium Baccalaureus	en		0000-0003-4423-4370	2024-10-27
QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym	A.B.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	B.Ed.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	B.Ed	en		0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	Bachiller en Educación	es		0000-0003-4423-4370	2024-10-27
QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym	bachelorofeducation	en		0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	BEng	en		0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	bachelorofengineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	B.Eng	en		0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	B.Eng.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000057	master of science	oboInOwl:hasExactSynonym	MSc student	en		0000-0003-4423-4370	2024-10-27
